90,70,0,80,0,60,5,0
75,65,0,85,0,40,20,0
60,30,0,80,0,20,40,0
30,20,0,80,0,40,70,0
75,65,0,85,0,40,5,0
75,65,0,85,0,30,5,0
20,40,0,70,0,10,60,0
20,30,0,70,10,40,50,0

20,30,0,40,0,10,60,5
5,20,0,40,30,20,60,0
20,30,0,70,40,20,60,5
75,40,0,85,5,20,15,0
70,50,0,80,0,40,20,0
75,40,0,85,0,30,20,0
20,40,0,70,10,30,20,0
30,20,0,90,0,20,40,0
30,20,0,70,10,20,60,5
70,80,0,90,0,20,30,0
90,40,0,80,0,70,5,0
90,70,0,80,0,40,0,0
90,70,0,80,0,40,20,0
95,70,0,85,0,40,0,0
75,30,0,60,0,40,5,0
90,70,0,80,0,60,0,0
0,10,0,20,0,40,90,0
90,70,0,80,0,40,0,0
20,10,0,40,0,60,30,20
90,70,0,80,0,40,0,0
90,20,0,75,0,40,0,0
75,40,0,70,0,30,0,0
75,30,0,85,0,40,5,0
0,0,0,0,0,20,80,100
85,75,0,90,0,40,0,0
85,40,0,70,0,30,20,0
90,70,0,80,0,40,0,0
90,75,0,85,0,40,5,0
75,30,0,50,0,60,5,0
75,40,0,85,0,30,20,0
75,20,0,60,0,30,40,0
75,30,0,85,0,40,0,0
75,30,0,85,0,20,25,0
90,70,0,85,0,40,5,0
